epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1785.85,0.58943,0.37261,0.85342,0.90402,0.83228,0.87695,0.58507,0.9946,0.59576,0.89458,0.000488938,0.000488938,0.000488938
125,1800.18,0.59588,0.37179,0.8556,0.90973,0.83113,0.88113,0.59416,1.03167,0.55834,0.9131,0.00048275,0.00048275,0.00048275
126,1814.51,0.59996,0.37744,0.86029,0.90773,0.80147,0.87593,0.57531,0.99344,0.5842,0.89658,0.000476562,0.000476562,0.000476562
127,1828.8,0.59008,0.37157,0.85783,0.89201,0.83921,0.88071,0.58083,0.99349,0.54779,0.89884,0.000470375,0.000470375,0.000470375
128,1842.93,0.58228,0.36485,0.85553,0.90809,0.81018,0.85715,0.57179,0.97662,0.54458,0.9039,0.000464188,0.000464188,0.000464188
129,1857.21,0.58857,0.36829,0.86203,0.91455,0.79832,0.87429,0.58166,0.98437,0.57772,0.90332,0.000458,0.000458,0.000458
130,1871.61,0.58717,0.37725,0.85294,0.93447,0.78903,0.86272,0.58654,0.94415,0.55867,0.88751,0.000451813,0.000451813,0.000451813
131,1886.03,0.56936,0.36999,0.84887,0.91701,0.82012,0.88051,0.57987,0.96723,0.55593,0.89493,0.000445625,0.000445625,0.000445625
132,1900.4,0.57813,0.36808,0.85057,0.85678,0.81219,0.87299,0.58093,0.98594,0.575,0.89171,0.000439437,0.000439437,0.000439437
133,1914.81,0.58408,0.37272,0.85344,0.8783,0.81266,0.88736,0.58968,0.97407,0.55806,0.89359,0.00043325,0.00043325,0.00043325
134,1929.21,0.56826,0.36358,0.8499,0.86468,0.81582,0.87316,0.58562,0.98059,0.5437,0.89082,0.000427062,0.000427062,0.000427062
135,1943.5,0.58117,0.36773,0.85029,0.90675,0.81419,0.87271,0.58442,0.95892,0.51413,0.88622,0.000420875,0.000420875,0.000420875
136,1957.78,0.55959,0.35822,0.84669,0.89353,0.81366,0.87801,0.58439,0.95072,0.54832,0.8861,0.000414688,0.000414688,0.000414688
137,1972.03,0.56105,0.36244,0.85151,0.90075,0.81086,0.87451,0.59704,0.9836,0.54816,0.90102,0.0004085,0.0004085,0.0004085
138,1986.36,0.55654,0.35791,0.84426,0.917,0.82548,0.88143,0.59454,0.97135,0.55592,0.90254,0.000402312,0.000402312,0.000402312
139,2000.71,0.55313,0.35667,0.84934,0.92596,0.78945,0.88777,0.58861,0.98796,0.58334,0.9044,0.000396125,0.000396125,0.000396125
140,2015.04,0.55165,0.35357,0.85084,0.89499,0.80875,0.88154,0.58865,0.96891,0.55576,0.89308,0.000389938,0.000389938,0.000389938
141,2029.32,0.55462,0.35202,0.8479,0.83335,0.81671,0.86499,0.58144,0.95622,0.5354,0.88391,0.00038375,0.00038375,0.00038375
142,2043.54,0.54323,0.34955,0.84467,0.94504,0.79992,0.87982,0.59671,0.96009,0.54239,0.88877,0.000377563,0.000377563,0.000377563
143,2057.83,0.55813,0.36308,0.85329,0.95768,0.79505,0.88501,0.5872,0.98155,0.52199,0.90015,0.000371375,0.000371375,0.000371375
144,2072.06,0.54733,0.35402,0.84405,0.87811,0.81755,0.87474,0.59066,0.9708,0.51725,0.89802,0.000365188,0.000365188,0.000365188
145,2086.28,0.54504,0.35542,0.84658,0.89914,0.81147,0.87093,0.58828,0.93833,0.56989,0.88845,0.000359,0.000359,0.000359
146,2100.56,0.55258,0.35464,0.84157,0.91241,0.81617,0.88419,0.60001,0.96328,0.5448,0.89307,0.000352812,0.000352812,0.000352812
147,2114.99,0.54119,0.35001,0.84943,0.8669,0.80196,0.86498,0.58592,0.97186,0.57454,0.89618,0.000346625,0.000346625,0.000346625
148,2129.3,0.52869,0.34398,0.84335,0.85831,0.78256,0.85882,0.58249,0.96605,0.60074,0.89427,0.000340438,0.000340438,0.000340438
149,2143.65,0.53635,0.34146,0.8429,0.86641,0.80754,0.88063,0.59131,0.97377,0.5642,0.887,0.00033425,0.00033425,0.00033425
150,2158.02,0.54696,0.34558,0.8501,0.88792,0.79058,0.87147,0.58988,0.97203,0.58541,0.89217,0.000328063,0.000328063,0.000328063
151,2172.42,0.53178,0.34708,0.84152,0.8895,0.81772,0.88076,0.60556,0.93155,0.50522,0.89044,0.000321875,0.000321875,0.000321875
152,2186.85,0.53048,0.34231,0.84747,0.89345,0.78971,0.8697,0.58849,0.95464,0.55313,0.88599,0.000315687,0.000315687,0.000315687
153,2201.2,0.51967,0.33678,0.83764,0.87652,0.82391,0.88183,0.58687,0.97543,0.53399,0.89291,0.0003095,0.0003095,0.0003095
154,2215.63,0.51508,0.33657,0.83696,0.9238,0.80635,0.88367,0.59508,0.96706,0.53983,0.89363,0.000303313,0.000303313,0.000303313
155,2230.11,0.5217,0.33963,0.84299,0.89563,0.83032,0.8759,0.58739,0.97921,0.52135,0.8965,0.000297125,0.000297125,0.000297125
156,2244.48,0.50478,0.33044,0.83618,0.92229,0.80948,0.8797,0.58711,0.96358,0.51316,0.88956,0.000290937,0.000290937,0.000290937
157,2259.05,0.51041,0.3245,0.83581,0.90013,0.82454,0.89337,0.61365,0.95161,0.50262,0.89133,0.00028475,0.00028475,0.00028475
158,2273.67,0.52706,0.33715,0.8382,0.90457,0.82643,0.88784,0.60358,0.94599,0.50711,0.89062,0.000278562,0.000278562,0.000278562
159,2288.03,0.51473,0.33284,0.84227,0.92376,0.81817,0.88055,0.60164,0.96981,0.50281,0.88665,0.000272375,0.000272375,0.000272375
160,2302.28,0.50964,0.32973,0.84009,0.91306,0.80551,0.8754,0.6006,0.98849,0.52484,0.89339,0.000266187,0.000266187,0.000266187
161,2316.65,0.51548,0.3335,0.84099,0.88341,0.85063,0.8857,0.59209,0.98655,0.52673,0.89485,0.00026,0.00026,0.00026
162,2330.93,0.51073,0.32812,0.83797,0.9409,0.8284,0.89648,0.6001,0.97319,0.50592,0.89714,0.000253812,0.000253812,0.000253812
163,2345.19,0.49541,0.32777,0.83422,0.92483,0.79428,0.88264,0.5971,0.97376,0.54134,0.89795,0.000247625,0.000247625,0.000247625
