epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,964.603,0.67341,0.40845,0.87359,0.87167,0.76109,0.86098,0.54946,1.14142,0.64613,0.9466,0.0003095,0.0003095,0.0003095
78,976.995,0.65205,0.40102,0.87508,0.8958,0.7797,0.86653,0.55746,1.09251,0.63853,0.93972,0.000297125,0.000297125,0.000297125
79,989.347,0.66559,0.3989,0.87423,0.89343,0.7801,0.85494,0.54784,1.10058,0.65102,0.94078,0.00028475,0.00028475,0.00028475
80,1001.79,0.66169,0.4038,0.8666,0.92848,0.71549,0.84254,0.53954,1.09651,0.66184,0.95196,0.000272375,0.000272375,0.000272375
81,1014.14,0.65062,0.39961,0.86965,0.88895,0.78399,0.8691,0.54358,1.09325,0.66142,0.94183,0.00026,0.00026,0.00026
82,1026.43,0.65437,0.39576,0.8671,0.88222,0.80271,0.85529,0.5303,1.1566,0.65899,0.95426,0.000247625,0.000247625,0.000247625
83,1038.74,0.64577,0.39557,0.87003,0.89605,0.80681,0.86796,0.53882,1.11238,0.64671,0.9471,0.00023525,0.00023525,0.00023525
84,1051.1,0.63711,0.39521,0.86123,0.87225,0.7828,0.85768,0.55021,1.10542,0.67894,0.94747,0.000222875,0.000222875,0.000222875
85,1063.49,0.63056,0.39161,0.86198,0.90366,0.73027,0.85953,0.54214,1.13217,0.71714,0.95312,0.0002105,0.0002105,0.0002105
86,1075.77,0.61575,0.37916,0.85943,0.85331,0.79218,0.85569,0.53623,1.10921,0.72818,0.94787,0.000198125,0.000198125,0.000198125
87,1088.05,0.62105,0.38405,0.86673,0.88437,0.79054,0.86118,0.54561,1.12766,0.66827,0.9571,0.00018575,0.00018575,0.00018575
88,1100.4,0.61173,0.37531,0.8563,0.8786,0.76801,0.86688,0.55676,1.08099,0.60445,0.94737,0.000173375,0.000173375,0.000173375
